number	id	name	kind	superstarId	artwork_requirement	status	path
SS1-058	momentum-knowledge	Knowledge Momentum	momentum		graphic-momentum-art	pending	
SS1-059	momentum-strength	Strength Momentum	momentum		graphic-momentum-art	pending	
SS1-060	momentum-strike	Strike Momentum	momentum		graphic-momentum-art	pending	
SS1-061	momentum-technical	Technical Momentum	momentum		graphic-momentum-art	pending	
SS1-062	shoulder-up	Shoulder Up	special		generic-wwe-concept-photo	pending	
SS1-063	desperation-counter	Desperation Counter	special		generic-wwe-concept-photo	pending	
SS1-064	fire-up	Fire Up	action		generic-wwe-concept-photo	pending	
SS1-065	catch-breath	Catch Your Breath	action		generic-wwe-concept-photo	pending	
SS1-066	game-plan	Game Plan	action		generic-wwe-concept-photo	pending	
SS1-067	create-opening	Create an Opening	action		generic-wwe-concept-photo	pending	
SS1-068	cut-off-ring	Cut Off the Ring	action		generic-wwe-concept-photo	pending	
SS1-069	ring-generalship	Ring Generalship	support		generic-wwe-concept-photo	pending	
SS1-070	fighting-spirit	Fighting Spirit	support		generic-wwe-concept-photo	pending	
SS1-071	crowd-connection	Crowd Connection	support		generic-wwe-concept-photo	pending	
SS1-072	scouting-report	Scouting Report	support		generic-wwe-concept-photo	pending	
SS1-073	jab	Quick Jab	move		generic-wwe-concept-photo	pending	
SS1-074	arm-drag	Arm Drag	move		generic-wwe-concept-photo	pending	
SS1-075	throw-over-ropes	Throw Over the Ropes	move		generic-wwe-concept-photo	pending	
SS1-076	ringside-clothesline	Ringside Clothesline	move		generic-wwe-concept-photo	pending	
SS1-077	ringside-slam	Ringside Slam	move		generic-wwe-concept-photo	pending	
SS1-078	ringside-ddt	Ringside DDT	move		generic-wwe-concept-photo	pending	
SS1-079	dodge	Dodge	move		generic-wwe-concept-photo	pending	
SS1-080	duck	Duck	move		generic-wwe-concept-photo	pending	
SS1-081	reversal	Technical Reversal	move		generic-wwe-concept-photo	pending	
SS1-082	scramble	Scramble Free	move		generic-wwe-concept-photo	pending	
SS1-083	collar-elbow	Collar-and-Elbow Tie-Up	move		generic-wwe-concept-photo	pending	
SS1-084	side-headlock	Side Headlock	move		generic-wwe-concept-photo	pending	
SS1-085	wrist-lock	Wrist Lock	move		generic-wwe-concept-photo	pending	
SS1-086	shoulder-tackle	Shoulder Tackle	move		generic-wwe-concept-photo	pending	
SS1-087	running-forearm	Running Forearm	move		generic-wwe-concept-photo	pending	
SS1-088	elbow-smash	Elbow Smash	move		generic-wwe-concept-photo	pending	
SS1-089	uppercut	Uppercut	move		generic-wwe-concept-photo	pending	
SS1-090	hip-toss	Hip Toss	move		generic-wwe-concept-photo	pending	
SS1-091	snapmare	Snapmare	move		generic-wwe-concept-photo	pending	
SS1-092	bodyslam	Bodyslam	move		generic-wwe-concept-photo	pending	
SS1-093	clothesline	Clothesline	move		generic-wwe-concept-photo	pending	
SS1-094	dropkick	Dropkick	move		generic-wwe-concept-photo	pending	
SS1-095	big-boot	Big Boot	move		generic-wwe-concept-photo	pending	
SS1-096	superkick	Superkick	move		generic-wwe-concept-photo	pending	
SS1-097	ddt	DDT	move		generic-wwe-concept-photo	pending	
SS1-098	neckbreaker	Neckbreaker	move		generic-wwe-concept-photo	pending	
SS1-099	backbreaker	Backbreaker	move		generic-wwe-concept-photo	pending	
SS1-100	leg-sweep	Leg Sweep	move		generic-wwe-concept-photo	pending	
SS1-101	elbow-drop	Elbow Drop	move		generic-wwe-concept-photo	pending	
SS1-102	knee-drop	Knee Drop	move		generic-wwe-concept-photo	pending	
SS1-103	leg-drop	Leg Drop	move		generic-wwe-concept-photo	pending	
SS1-104	vertical-suplex	Vertical Suplex	move		generic-wwe-concept-photo	pending	
SS1-105	snap-suplex	Snap Suplex	move		generic-wwe-concept-photo	pending	
SS1-106	german-suplex-common	German Suplex	move		generic-wwe-concept-photo	pending	
SS1-107	belly-to-belly-common	Belly-to-Belly Suplex	move		generic-wwe-concept-photo	pending	
SS1-108	russian-leg-sweep	Russian Leg Sweep	move		generic-wwe-concept-photo	pending	
SS1-109	bulldog	Bulldog	move		generic-wwe-concept-photo	pending	
SS1-110	spinebuster	Spinebuster	move		generic-wwe-concept-photo	pending	
SS1-111	powerslam	Powerslam	move		generic-wwe-concept-photo	pending	
SS1-112	samoan-drop-common	Samoan Drop	move		generic-wwe-concept-photo	pending	
SS1-113	enzuigiri-common	Enzuigiri	move		generic-wwe-concept-photo	pending	
SS1-114	running-knee-common	Running Knee Strike	move		generic-wwe-concept-photo	pending	
SS1-115	lariat	Lariat	move		generic-wwe-concept-photo	pending	
SS1-116	flying-clothesline	Flying Clothesline	move		generic-wwe-concept-photo	pending	
SS1-117	senton-common	Senton	move		generic-wwe-concept-photo	pending	
SS1-118	splash	Body Splash	move		generic-wwe-concept-photo	pending	
SS1-119	boston-crab	Boston Crab	move		generic-wwe-concept-photo	pending	
SS1-120	sleeper-common	Sleeper Hold	move		generic-wwe-concept-photo	pending	
SS1-121	armbar	Armbar	move		generic-wwe-concept-photo	pending	
SS1-122	powerbomb	Powerbomb	move		generic-wwe-concept-photo	pending	
SS1-123	piledriver	Piledriver	move		generic-wwe-concept-photo	pending	
SS1-124	fisherman-suplex	Fisherman Suplex	move		generic-wwe-concept-photo	pending	
SS1-125	moonsault	Moonsault	move		generic-wwe-concept-photo	pending	
SS1-126	frog-splash	Frog Splash	move		generic-wwe-concept-photo	pending	
SS1-127	diving-crossbody	Diving Crossbody	move		generic-wwe-concept-photo	pending	
SS1-128	suicide-dive	Suicide Dive	move		generic-wwe-concept-photo	pending	
SS1-129	sitout-powerbomb	Sit-Out Powerbomb	move		generic-wwe-concept-photo	pending	
SS1-130	superplex	Superplex	move		generic-wwe-concept-photo	pending	
SS1-131	brainbuster	Brainbuster	move		generic-wwe-concept-photo	pending	
SS1-132	cody-drop-down-punch	Drop-Down Punch	move	cody-rhodes	unique-move-photo	pending	
SS1-133	cody-suicide-dive	Cody Suicide Dive	move	cody-rhodes	unique-move-photo	pending	
SS1-134	cody-moonsault	Cody Moonsault	move	cody-rhodes	unique-move-photo	pending	
SS1-135	cody-pedigree	Pedigree	move	cody-rhodes	unique-move-photo	pending	
SS1-136	cody-spear	Spear	move	cody-rhodes	unique-move-photo	pending	
SS1-137	punk-leg-lariat	Leg Lariat	move	cm-punk	unique-move-photo	pending	
SS1-138	punk-snap-suplex	Snap Suplex	move	cm-punk	unique-move-photo	pending	
SS1-139	punk-bulldog	Running Bulldog	move	cm-punk	unique-move-photo	pending	
SS1-140	punk-high-kick	High Kick	move	cm-punk	unique-move-photo	pending	
SS1-141	punk-piledriver	Piledriver	move	cm-punk	unique-move-photo	pending	
SS1-142	roman-uppercut	Leaping Uppercut	move	roman-reigns	unique-move-photo	pending	
SS1-143	roman-clothesline	Running Clothesline	move	roman-reigns	unique-move-photo	pending	
SS1-144	roman-powerbomb	Sit-Out Powerbomb	move	roman-reigns	unique-move-photo	pending	
SS1-145	roman-drive-by-ringside	Drive-By Dropkick	move	roman-reigns	unique-move-photo	pending	
SS1-146	roman-crucifix-powerbomb	Crucifix Powerbomb	move	roman-reigns	unique-move-photo	pending	
SS1-147	seth-superkick	Superkick	move	seth-rollins	unique-move-photo	pending	
SS1-148	seth-suicide-dive	Suicide Dive	move	seth-rollins	unique-move-photo	pending	
SS1-149	seth-springboard-knee	Springboard Knee	move	seth-rollins	unique-move-photo	pending	
SS1-150	seth-ripcord-knee	Ripcord Knee	move	seth-rollins	unique-move-photo	pending	
SS1-151	seth-superplex-falcon	Superplex into Falcon Arrow	move	seth-rollins	unique-move-photo	pending	
SS1-152	oba-shoulder-block	Running Shoulder Block	move	oba-femi	unique-move-photo	pending	
SS1-153	oba-chokeslam	Chokeslam	move	oba-femi	unique-move-photo	pending	
SS1-154	oba-backbreaker	Backbreaker	move	oba-femi	unique-move-photo	pending	
SS1-155	oba-pop-up-powerbomb	Pop-Up Powerbomb	move	oba-femi	unique-move-photo	pending	
SS1-156	oba-running-uppercut	Running Uppercut	move	oba-femi	unique-move-photo	pending	
SS1-157	brock-knee-strike	Knee Strike	move	brock-lesnar	unique-move-photo	pending	
SS1-158	brock-overhead-belly	Overhead Belly-to-Belly	move	brock-lesnar	unique-move-photo	pending	
SS1-159	brock-triple-germans	Suplex City	move	brock-lesnar	unique-move-photo	pending	
SS1-160	brock-powerbomb	Powerbomb	move	brock-lesnar	unique-move-photo	pending	
SS1-161	brock-clothesline	Brock Clothesline	move	brock-lesnar	unique-move-photo	pending	
SS1-162	owens-forearm	Running Forearm	move	kevin-owens	unique-move-photo	pending	
SS1-163	owens-ddt	DDT	move	kevin-owens	unique-move-photo	pending	
SS1-164	owens-swanton	Swanton Bomb	move	kevin-owens	unique-move-photo	pending	
SS1-165	owens-package-piledriver	Package Piledriver	move	kevin-owens	unique-move-photo	pending	
SS1-166	owens-frog-splash	Frog Splash	move	kevin-owens	unique-move-photo	pending	
SS1-167	gunther-big-boot	Big Boot	move	gunther	unique-move-photo	pending	
SS1-168	gunther-german	German Suplex	move	gunther	unique-move-photo	pending	
SS1-169	gunther-butterfly-suplex	Butterfly Suplex	move	gunther	unique-move-photo	pending	
SS1-170	gunther-boston-crab	Boston Crab	move	gunther	unique-move-photo	pending	
SS1-171	gunther-splash	Top-Rope Splash	move	gunther	unique-move-photo	pending	
